epoch,train_loss,public_loss,pub_rmse_val,pub_rmse_aro,pub_rmse_dom,pub_rmse_mean,lr
0,2.582713117926929,2.4603215008974075,1.1417335,1.1436752,1.242125,1.1758445501327515,1.6000000000000003e-05
1,2.095294180857777,2.5740655660629272,1.1199875,1.191062,1.3049717,1.2053403854370117,1.6000000000000003e-05
2,1.8848640785708448,2.7232676446437836,1.1218879,1.2164557,1.3782079,1.238850474357605,1.6000000000000003e-05
3,1.700150372132723,2.888678103685379,1.1557002,1.2479963,1.4260119,1.2765694856643677,1.6000000000000003e-05
4,1.55419569568061,2.9798630475997925,1.1207852,1.3275893,1.4178706,1.2887483835220337,1.6000000000000003e-05
5,1.4130281693434,2.9659579396247864,1.1123679,1.3410919,1.4202586,1.2912393808364868,8.000000000000001e-06
6,1.2582563243710432,3.104181617498398,1.121921,1.359562,1.4768499,1.3194442987442017,8.000000000000001e-06
7,1.2046753638803702,3.244871973991394,1.1252223,1.3919342,1.5214206,1.3461923599243164,8.000000000000001e-06
8,1.1355925903299848,3.37101811170578,1.1512177,1.4052929,1.5713295,1.3759466409683228,8.000000000000001e-06
9,1.0918556426216093,3.4928420782089233,1.1878382,1.4439343,1.5707693,1.400847315788269,8.000000000000001e-06
10,1.0431199160768239,3.498315066099167,1.1837806,1.4346535,1.5873188,1.401917576789856,8.000000000000001e-06
