epoch,train_loss,public_loss,pub_rmse_val,pub_rmse_aro,pub_rmse_dom,pub_rmse_mean,lr
0,3.122355791975702,1.8968772428077565,0.53709173,0.6215878,0.5334011,0.5640268325805664,1.6000000000000003e-05
1,3.058102859109288,1.8783446341230159,0.5302523,0.6213961,0.5349926,0.562213659286499,1.6000000000000003e-05
2,3.012060396214749,1.9454474794237238,0.54804194,0.6242902,0.54122674,0.5711863040924072,1.6000000000000003e-05
3,2.973614439614839,1.9653893458215814,0.5515608,0.6261947,0.5448638,0.5742064714431763,1.6000000000000003e-05
4,2.919971515664536,2.0057663520177207,0.55453974,0.6276859,0.55998456,0.5807367563247681,1.6000000000000003e-05
5,2.86406685161816,2.053769834208907,0.5689485,0.63833135,0.5532425,0.586840808391571,8.000000000000001e-06
6,2.7579506520120245,2.0919000872394493,0.56114024,0.6597952,0.5688852,0.5966069102287292,8.000000000000001e-06
7,2.698462704676545,2.1065071256537187,0.56389797,0.6613702,0.5716457,0.5989713072776794,8.000000000000001e-06
8,2.643675797092717,2.20266249200754,0.5783862,0.6666543,0.5919062,0.6123155355453491,8.000000000000001e-06
9,2.5825449180377573,2.191989157283515,0.57408917,0.6701421,0.590667,0.611632764339447,8.000000000000001e-06
10,2.520935546703654,2.2631672714885913,0.580885,0.688567,0.5988736,0.6227751970291138,8.000000000000001e-06
11,2.4613508349614786,2.3112429788238122,0.5865388,0.6920862,0.6108523,0.62982577085495,8.000000000000001e-06
