epoch,train_loss,public_loss,pub_rmse_val,pub_rmse_aro,pub_rmse_dom,pub_rmse_mean,lr
0,2.7406446080805136,4.271356612443924,1.0800596,1.0817072,1.2932502,1.15167236328125,1.6000000000000003e-05
1,2.219253249735336,4.212288469076157,1.0757588,1.1694908,1.2073599,1.1508698463439941,1.6000000000000003e-05
2,1.858005445980469,4.405442833900452,1.0348729,1.1393242,1.313026,1.1624077558517456,1.6000000000000003e-05
3,1.5923878530281617,5.086887747049332,1.0940026,1.238138,1.3868552,1.239665150642395,1.6000000000000003e-05
4,1.381065732544395,5.576352596282959,1.1596462,1.2109915,1.524512,1.2983832359313965,1.6000000000000003e-05
5,1.216018211120253,5.454374313354492,1.0769097,1.306257,1.4363409,1.2731691598892212,8.000000000000001e-06
6,1.0296588672953806,5.633222341537476,1.1372656,1.3199731,1.4451423,1.3007936477661133,8.000000000000001e-06
7,0.9442970837187615,5.792196571826935,1.1265907,1.338243,1.481601,1.3154782056808472,8.000000000000001e-06
8,0.8841965944207651,6.048849821090698,1.1387037,1.3608917,1.5239681,1.341187834739685,8.000000000000001e-06
9,0.8330403589455692,5.765073657035828,1.1289312,1.3474026,1.4744666,1.3169333934783936,8.000000000000001e-06
10,0.7801693282752533,6.536035597324371,1.2082413,1.4265413,1.5594684,1.3980836868286133,8.000000000000001e-06
11,0.7326422729499781,6.181633174419403,1.1593872,1.3869835,1.528577,1.3583159446716309,8.000000000000001e-06
