epoch,train_loss,public_loss,pub_rmse_val,pub_rmse_aro,pub_rmse_dom,pub_rmse_mean,lr
0,2.6194781257119373,4.97355529665947,1.1188534,1.2161634,1.3489438,1.2279868125915527,1.6000000000000003e-05
1,2.2232494942871206,5.3365742564201355,1.1452861,1.213262,1.4254867,1.2613449096679688,1.6000000000000003e-05
2,1.9597993460330334,5.848996579647064,1.1519415,1.2504368,1.543727,1.3153685331344604,1.6000000000000003e-05
3,1.758156505085173,4.962857812643051,1.0949001,1.2518839,1.3255264,1.2241034507751465,1.6000000000000003e-05
4,1.5986084632821136,5.2973673939704895,1.0451248,1.3108567,1.3907952,1.2489255666732788,1.6000000000000003e-05
5,1.468198651184529,6.185037136077881,1.1617923,1.4665757,1.4481308,1.3588329553604126,8.000000000000001e-06
6,1.3055345583748033,6.615461826324463,1.1715716,1.4110435,1.614321,1.3989787101745605,8.000000000000001e-06
7,1.2406587613371265,6.521510481834412,1.1431766,1.391963,1.5994729,1.3782042264938354,8.000000000000001e-06
8,1.1873033018339247,6.62019282579422,1.1425419,1.4157373,1.5960939,1.3847910165786743,8.000000000000001e-06
9,1.1364085452460544,6.521839380264282,1.1599677,1.4363831,1.5869877,1.3944460153579712,8.000000000000001e-06
10,1.0904815190004342,7.043982148170471,1.2260827,1.4781761,1.6503896,1.4515495300292969,8.000000000000001e-06
11,1.046690443780396,6.710115015506744,1.1239302,1.4585197,1.6049356,1.395795226097107,8.000000000000001e-06
12,1.01037700905468,6.396489083766937,1.1458421,1.4265827,1.5213813,1.3646020889282227,4.000000000000001e-06
13,0.9493961776569213,6.788666307926178,1.1690469,1.4657372,1.6143992,1.416394591331482,4.000000000000001e-06
